PAIS,AÑO,MES,PRODUCTO,CANTIDAD DE ENERGIA (GWh),CODIGO DE PRODUCTO,AÑO ACTUAL- MES ACTUA,AÑO ANTERIOR- MES ACTUAL,PARTICIPACION
Colombia,2015,October,Renewables,3.503.948,22,49.301.099,39.985.825,54.14%
Colombia,2015,October,Low carbon,3.503.948,26,49.301.099,39.985.825,54.14%
Colombia,2015,October,Fossil fuels,2.968.074,27,26.820.895,17258.26,45.86%
Mexico,2015,October,Hydro,1.740.122,1,30.614.001,34.195.693,6.75%
Mexico,2015,October,Wind,662.97,2,8.452.944,5.020.785,2.57%
Mexico,2015,October,Solar,17.222,3,238.999,188.994,0.07%
Mexico,2015,October,Renewables,3.039.441,22,46.579.933,45.272.423,11.80%
Mexico,2015,October,Low carbon,3.950.308,26,57.756.934,52.705.233,15.33%
Mexico,2015,October,Fossil fuels,21.814.241,27,240.020.011,193.978.339,84.67%
Argentina,2015,November,Hydro,2.461.563,1,31.843.542,,24.85%
Argentina,2015,November,Wind,45.764,2,588.61,,0.46%
Argentina,2015,November,Solar,1.337,3,14.912,,0.01%
Argentina,2015,November,Renewables,2.601.733,22,33.567.573,,26.27%
Argentina,2015,November,Low carbon,3.228.248,26,40211.65,,32.59%
Argentina,2015,November,Fossil fuels,6.676.806,27,97.379.183,,67.41%
Brazil,2015,November,Hydro,29.210.537,1,355076.9,,62.52%
Brazil,2015,November,Wind,1.970.924,2,21465.9,,4.22%
Brazil,2015,November,Solar,9.157,3,58.652,,0.02%
Brazil,2015,November,Renewables,35.565.667,22,423.216.131,,76.12%
Brazil,2015,November,Low carbon,36.926.472,26,437.123.482,,79.04%
Brazil,2015,November,Fossil fuels,9.795.182,27,126.938.481,,20.96%
Chile,2015,November,Hydro,2.929.724,1,23.403.001,20.477.427,49.55%
Chile,2015,November,Wind,219.852,2,2.111.999,1.245.608,3.72%
Chile,2015,November,Solar,145.754,3,1.238.001,390.468,2.47%
Chile,2015,November,Renewables,3.639.955,22,32.035.043,26.957.221,61.56%
Chile,2015,November,Low carbon,3.639.955,26,32.035.043,27.223.971,61.56%
Chile,2015,November,Fossil fuels,2.272.537,27,39.993.956,36.550.604,38.44%
Colombia,2015,November,Hydro,3.246.676,1,47.938.041,43.068.636,52.73%
Colombia,2015,November,Wind,4.217,2,67.497,64.308,0.07%
Colombia,2015,November,Solar,648,3,8.947,8.069,0.01%
Colombia,2015,November,Renewables,3.357.072,22,49.301.099,44.292.701,54.52%
Colombia,2015,November,Low carbon,3.357.072,26,49.301.099,44.292.701,54.52%
Colombia,2015,November,Fossil fuels,2.800.111,27,26.820.895,18.786.761,45.48%
Mexico,2015,November,Hydro,1.599.744,1,30.614.001,36.397.863,6.99%
Mexico,2015,November,Wind,955.218,2,8.452.944,5.550.427,4.18%
Mexico,2015,November,Solar,15.803,3,238.999,205.403,0.07%
Mexico,2015,November,Renewables,3.159.963,22,46.579.933,48.572.841,13.82%
Mexico,2015,November,Low carbon,3.699.978,26,57.756.934,56.916.488,16.18%
Mexico,2015,November,Fossil fuels,19.172.124,27,240.020.011,211.263.689,83.82%
Argentina,2015,December,Hydro,2.868.537,1,31.843.542,,23.61%
Argentina,2015,December,Wind,55.301,2,588.61,,0.46%
Argentina,2015,December,Solar,1.465,3,14.912,,0.01%
Argentina,2015,December,Renewables,3001.64,22,33.567.573,,24.71%
Argentina,2015,December,Low carbon,3.978.157,26,40211.65,,32.75%
Argentina,2015,December,Fossil fuels,8.169.072,27,97.379.183,,67.25%
Brazil,2015,December,Hydro,30.978.888,1,355076.9,,65.56%
Brazil,2015,December,Wind,2.155.619,2,21465.9,,4.56%
Brazil,2015,December,Solar,8.601,3,58.652,,0.02%
Brazil,2015,December,Renewables,36.193.315,22,423.216.131,,76.59%
Brazil,2015,December,Low carbon,37.571.349,26,437.123.482,,79.51%
Brazil,2015,December,Fossil fuels,9.681.514,27,126.938.481,,20.49%
Chile,2015,December,Hydro,2.725.773,1,23.403.001,22814,44.09%
Chile,2015,December,Wind,228.833,2,2.111.999,1.441.001,3.70%
Chile,2015,December,Solar,151.22,3,1.238.001,479.999,2.45%
Chile,2015,December,Renewables,3.507.889,22,32.035.043,29.943.127,56.74%
Chile,2015,December,Low carbon,3.507.889,26,32.035.043,30.234.127,56.74%
Chile,2015,December,Fossil fuels,2.674.152,27,39.993.956,39.508.874,43.26%
Colombia,2015,December,Hydro,3.279.061,1,47.938.041,47.249.092,51.19%
Colombia,2015,December,Wind,6.58,2,67.497,69.482,0.10%
Colombia,2015,December,Solar,878,3,8.947,8.947,0.01%
Colombia,2015,December,Renewables,3.400.588,22,49.301.099,48.591.614,53.09%
Colombia,2015,December,Low carbon,3.400.588,26,49.301.099,48.591.614,53.09%
Colombia,2015,December,Fossil fuels,3.005.223,27,26.820.895,20.435.682,46.91%
Mexico,2015,December,Hydro,1.412.847,1,30.614.001,38549,6.41%
Mexico,2015,December,Wind,527.39,2,8.452.944,6.351.001,2.39%
Mexico,2015,December,Solar,13.422,3,238.999,220.736,0.06%
Mexico,2015,December,Renewables,2.561.268,22,46.579.933,52118.08,11.62%
Mexico,2015,December,Low carbon,3.113.986,26,57.756.934,61421.08,14.13%
Mexico,2015,December,Fossil fuels,18.919.842,27,240.020.011,228.628.657,85.87%
Argentina,2016,January,Hydro,2.879.946,1,29.316.745,2.519.945,22.18%
Argentina,2016,January,Wind,48.728,2,543.942,51.294,0.38%
Argentina,2016,January,Solar,1.298,3,13.917,1.511,0.01%
Argentina,2016,January,Renewables,2.975.411,22,31.013.883,2.628.984,22.92%
Argentina,2016,January,Low carbon,3.667.486,26,38.834.052,3.188.063,28.25%
Argentina,2016,January,Fossil fuels,9.316.804,27,100.338.115,8.819.001,71.75%
Brazil,2016,January,Hydro,33.147.458,1,375.970.336,34.343.374,70.60%
Brazil,2016,January,Wind,1.356.074,2,33.240.086,1543.12,2.89%
Brazil,2016,January,Solar,6.556,3,84.498,2.613,0.01%
Brazil,2016,January,Renewables,35.708.953,22,457.470.239,37.320.248,76.06%
Brazil,2016,January,Low carbon,37.119.653,26,472.444.191,38.664.275,79.06%
Brazil,2016,January,Fossil fuels,9.829.171,27,90.863.524,11.763.224,20.94%
Chile,2016,January,Hydro,2.554.898,1,22.807.999,1.935.863,39.73%
Chile,2016,January,Wind,173.14,2,2.445.999,119.982,2.69%
Chile,2016,January,Solar,178.063,3,2.589.998,92.918,2.77%
Chile,2016,January,Renewables,3.320.254,22,33.527.852,2.625.936,51.63%
Chile,2016,January,Low carbon,3.320.254,26,33.527.852,2.625.936,51.63%
Chile,2016,January,Fossil fuels,3.111.101,27,42.926.146,3594.5,48.37%
Colombia,2016,January,Hydro,2.913.965,1,48.459.195,3.931.459,47.06%
Colombia,2016,January,Wind,4.899,2,50.622,5.562,0.08%
Colombia,2016,January,Solar,1.065,3,8.947,1.065,0.02%
Colombia,2016,January,Renewables,3.035.733,22,49.890.778,4.040.611,49.02%
Colombia,2016,January,Low carbon,3.035.733,26,49.890.778,4.040.611,49.02%
Colombia,2016,January,Fossil fuels,3.156.569,27,24.570.492,2147.48,50.98%
Mexico,2016,January,Hydro,1.321.344,1,29.744.001,2.054.106,5.93%
Mexico,2016,January,Wind,1.073.968,2,9.934.994,1.006.683,4.82%
Mexico,2016,January,Solar,28.495,3,464,13.588,0.13%
Mexico,2016,January,Renewables,3.042.587,22,47.338.895,3.666.479,13.65%
Mexico,2016,January,Low carbon,3.561.572,26,57.610.894,4740.87,15.97%
Mexico,2016,January,Fossil fuels,18.734.601,27,245.265.098,17.917.679,84.03%
Argentina,2016,February,Hydro,2.642.561,1,29.316.745,4.552.224,20.81%
Argentina,2016,February,Wind,44.432,2,543.942,93.798,0.35%
Argentina,2016,February,Solar,1.32,3,13.917,2.773,0.01%
Argentina,2016,February,Renewables,2.730.463,22,31.013.883,4.754.547,21.50%
Argentina,2016,February,Low carbon,3.402.759,26,38.834.052,5923.69,26.79%
Argentina,2016,February,Fossil fuels,9296.9,27,100.338.115,17.366.601,73.21%
Brazil,2016,February,Hydro,32.616.655,1,375.970.336,64429.01,73.05%
Brazil,2016,February,Wind,1.815.583,2,33.240.086,2.705.872,4.07%
Brazil,2016,February,Solar,7.098,3,84.498,5.088,0.02%
Brazil,2016,February,Renewables,35.523.817,22,457.470.239,69.769.406,79.57%
Brazil,2016,February,Low carbon,36.792.442,26,472.444.191,72.285.096,82.41%
Brazil,2016,February,Fossil fuels,7.854.721,27,90.863.524,22.656.123,17.59%
Chile,2016,February,Hydro,2.033.899,1,22.807.999,3.350.429,32.89%
Chile,2016,February,Wind,173.358,2,2.445.999,238.85,2.80%
Chile,2016,February,Solar,168.95,3,2.589.998,187.658,2.73%
Chile,2016,February,Renewables,2.835.423,22,33.527.852,4.726.865,45.86%
Chile,2016,February,Low carbon,2.835.423,26,33.527.852,4.726.865,45.86%
Chile,2016,February,Fossil fuels,3.347.993,27,42.926.146,7.204.216,54.14%
Colombia,2016,February,Hydro,2.937.529,1,48.459.195,8.013.726,48.35%
Colombia,2016,February,Wind,5.978,2,50.622,10.41,0.10%
Colombia,2016,February,Solar,831,3,8.947,1.896,0.01%
Colombia,2016,February,Renewables,3065.14,22,49.890.778,8.231.361,50.45%
Colombia,2016,February,Low carbon,3065.14,26,49.890.778,8.231.361,50.45%
Colombia,2016,February,Fossil fuels,3.010.275,27,24.570.492,3.892.829,49.55%
Mexico,2016,February,Hydro,1.696.355,1,29.744.001,4.294.293,7.81%
Mexico,2016,February,Wind,867.346,2,9.934.994,1.853.712,3.99%
Mexico,2016,February,Solar,35.466,3,464,30.863,0.16%
Mexico,2016,February,Renewables,3.171.001,22,47.338.895,7.307.399,14.60%
Mexico,2016,February,Low carbon,3605.84,26,57.610.894,9.357.877,16.60%
Mexico,2016,February,Fossil fuels,18.110.441,27,245.265.098,34.296.773,83.40%
Argentina,2016,March,Hydro,2.310.101,1,29.316.745,6.695.123,21.12%
Argentina,2016,March,Wind,49.699,2,543.942,134.94,0.45%
Argentina,2016,March,Solar,1.257,3,13.917,4.086,0.01%
Argentina,2016,March,Renewables,2.408.605,22,31.013.883,7.025.955,22.03%
Argentina,2016,March,Low carbon,3.010.043,26,38.834.052,8.826.974,27.53%
Argentina,2016,March,Fossil fuels,7.925.474,27,100.338.115,26.881.213,72.47%
Brazil,2016,March,Hydro,36.394.707,1,375.970.336,96.786.831,74.47%
Brazil,2016,March,Wind,2.064.769,2,33.240.086,3.821.227,4.23%
Brazil,2016,March,Solar,7.959,3,84.498,8.239,0.02%
Brazil,2016,March,Renewables,40.419.839,22,457.470.239,104.545.945,82.71%
Brazil,2016,March,Low carbon,41.825.327,26,472.444.191,108.279.454,85.58%
Brazil,2016,March,Fossil fuels,7.044.938,27,90.863.524,34.915.697,14.42%
Chile,2016,March,Hydro,1.665.817,1,22.807.999,4.810.856,25.06%
Chile,2016,March,Wind,129.776,2,2.445.999,379.777,1.95%
Chile,2016,March,Solar,179.936,3,2.589.998,267.823,2.71%
Chile,2016,March,Renewables,2.495.304,22,33.527.852,6.885.557,37.53%
Chile,2016,March,Low carbon,2.495.304,26,33.527.852,6.885.557,37.53%
Chile,2016,March,Fossil fuels,4.153.145,27,42.926.146,11.087.918,62.47%
Colombia,2016,March,Hydro,2.592.859,1,48.459.195,12.331.531,43.22%
Colombia,2016,March,Wind,5.579,2,50.622,16.791,0.09%
Colombia,2016,March,Solar,665,3,8.947,2.561,0.01%
Colombia,2016,March,Renewables,2.725.159,22,49.890.778,12.662.149,45.42%
Colombia,2016,March,Low carbon,2.725.159,26,49.890.778,12.662.149,45.42%
Colombia,2016,March,Fossil fuels,3.274.687,27,24.570.492,5.949.468,54.58%
Mexico,2016,March,Hydro,2.519.779,1,29.744.001,7.121.479,10.49%
Mexico,2016,March,Wind,642.556,2,9.934.994,2.740.723,2.68%
Mexico,2016,March,Solar,41.995,3,464,52.655,0.17%
Mexico,2016,March,Renewables,3.774.986,22,47.338.895,11.642.907,15.72%
Mexico,2016,March,Low carbon,4.017.783,26,57.610.894,14777.79,16.73%
Mexico,2016,March,Fossil fuels,19.995.593,27,245.265.098,52.821.328,83.27%
Argentina,2016,April,Hydro,2367.2,1,29.316.745,8.585.294,22.11%
Argentina,2016,April,Wind,51.064,2,543.942,179.193,0.48%
Argentina,2016,April,Solar,823,3,13.917,5.278,0.01%
Argentina,2016,April,Renewables,2.442.737,22,31.013.883,9.065.293,22.81%
Argentina,2016,April,Low carbon,3.160.423,26,38.834.052,11222.5,29.52%
Argentina,2016,April,Fossil fuels,7547.15,27,100.338.115,35.482.322,70.48%
Brazil,2016,April,Hydro,33.344.371,1,375.970.336,126.356.341,68.65%
Brazil,2016,April,Wind,2.332.603,2,33.240.086,4.815.025,4.80%
Brazil,2016,April,Solar,6.693,3,84.498,11.487,0.01%
Brazil,2016,April,Renewables,39.848.895,22,457.470.239,138.216.747,82.04%
Brazil,2016,April,Low carbon,41.201.135,26,472.444.191,143.331.226,84.82%
Brazil,2016,April,Fossil fuels,7.371.637,27,90.863.524,45628.64,15.18%
Chile,2016,April,Hydro,1.745.431,1,22.807.999,6.149.675,28.52%
Chile,2016,April,Wind,178.041,2,2.445.999,507.485,2.91%
Chile,2016,April,Solar,151.53,3,2.589.998,353.454,2.48%
Chile,2016,April,Renewables,2.554.355,22,33.527.852,8.912.679,41.73%
Chile,2016,April,Low carbon,2.554.355,26,33.527.852,8.912.679,41.73%
Chile,2016,April,Fossil fuels,3.566.527,27,42.926.146,14.821.551,58.27%
Colombia,2016,April,Hydro,3.430.949,1,48.459.195,16.684.469,57.30%
Colombia,2016,April,Wind,4.103,2,50.622,22.965,0.07%
Colombia,2016,April,Solar,0.56,3,8.947,3.121,0.01%
Colombia,2016,April,Renewables,3.560.025,22,49.890.778,17.128.641,59.45%
Colombia,2016,April,Low carbon,3.560.025,26,49.890.778,17.128.641,59.45%
Colombia,2016,April,Fossil fuels,2.428.179,27,24.570.492,7.661.759,40.55%
Mexico,2016,April,Hydro,3.231.094,1,29.744.001,10.687.534,12.65%
Mexico,2016,April,Wind,791.257,2,9.934.994,3.171.869,3.10%
Mexico,2016,April,Solar,44.996,3,464,76.954,0.18%
Mexico,2016,April,Renewables,4.658.834,22,47.338.895,16.259.911,18.24%
Mexico,2016,April,Low carbon,5.219.499,26,57.610.894,20.423.734,20.44%
Mexico,2016,April,Fossil fuels,20.322.037,27,245.265.098,71.520.298,79.56%
Argentina,2016,May,Hydro,2.836.279,1,29.316.745,10.412.544,24.01%
Argentina,2016,May,Wind,33.429,2,543.942,227.165,0.28%
Argentina,2016,May,Solar,513,3,13.917,6.401,0.00%
Argentina,2016,May,Renewables,3082.47,22,31.013.883,11.009.913,26.09%
Argentina,2016,May,Low carbon,3.845.514,26,38.834.052,13.506.672,32.55%
Argentina,2016,May,Fossil fuels,7.967.823,27,100.338.115,44777.09,67.45%
Brazil,2016,May,Hydro,31.297.152,1,375.970.336,155.014.294,67.61%
Brazil,2016,May,Wind,2.390.929,2,33.240.086,6.387.242,5.16%
Brazil,2016,May,Solar,5.939,3,84.498,14.186,0.01%
Brazil,2016,May,Renewables,38616.55,22,457.470.239,173.140.874,83.42%
Brazil,2016,May,Low carbon,40.028.262,26,472.444.191,179.291.448,86.47%
Brazil,2016,May,Fossil fuels,6.264.096,27,90.863.524,56.218.336,13.53%
Chile,2016,May,Hydro,1794.15,1,22.807.999,7.444.255,27.63%
Chile,2016,May,Wind,136.878,2,2.445.999,686.524,2.11%
Chile,2016,May,Solar,140.442,3,2.589.998,439.996,2.16%
Chile,2016,May,Renewables,2.567.964,22,33.527.852,10.954.432,39.54%
Chile,2016,May,Low carbon,2.567.964,26,33.527.852,10.954.432,39.54%
Chile,2016,May,Fossil fuels,3.926.443,27,42.926.146,18.836.636,60.46%
Colombia,2016,May,Hydro,4.456.328,1,48.459.195,20.891.139,71.50%
Colombia,2016,May,Wind,4.032,2,50.622,29.261,0.06%
Colombia,2016,May,Solar,0.67,3,8.947,3.791,0.01%
Colombia,2016,May,Renewables,4.560.593,22,49.890.778,21.443.031,73.17%
Colombia,2016,May,Low carbon,4.560.593,26,49.890.778,21.443.031,73.17%
Colombia,2016,May,Fossil fuels,1.672.422,27,24.570.492,9801.5,26.83%
Mexico,2016,May,Hydro,3.610.318,1,29.744.001,14.670.943,13.17%
Mexico,2016,May,Wind,472.461,2,9.934.994,3.620.964,1.72%
Mexico,2016,May,Solar,54.264,3,464,103.866,0.20%
Mexico,2016,May,Renewables,4754.16,22,47.338.895,21.324.214,17.34%
Mexico,2016,May,Low carbon,5.663.886,26,57.610.894,26.399.965,20.66%
Mexico,2016,May,Fossil fuels,21.749.272,27,245.265.098,91.594.971,79.34%
Argentina,2016,June,Hydro,2.444.729,1,29.316.745,13.148.712,19.72%
Argentina,2016,June,Wind,41.783,2,543.942,282.197,0.34%
Argentina,2016,June,Solar,751,3,13.917,7.376,0.01%
Argentina,2016,June,Renewables,3.064.352,22,31.013.883,13.904.265,24.72%
Argentina,2016,June,Low carbon,3.766.574,26,38.834.052,16.825.177,30.38%
Argentina,2016,June,Fossil fuels,8.631.711,27,100.338.115,53.501.795,69.62%
Brazil,2016,June,Hydro,29.182.306,1,375.970.336,181.162.108,65.74%
Brazil,2016,June,Wind,2.697.969,2,33.240.086,8048.09,6.08%
Brazil,2016,June,Solar,5.7,3,84.498,17.02,0.01%
Brazil,2016,June,Renewables,36.612.976,22,457.470.239,206.279.607,82.48%
Brazil,2016,June,Low carbon,37.794.272,26,472.444.191,213.373.605,85.14%
Brazil,2016,June,Fossil fuels,6.596.201,27,90.863.524,67.205.312,14.86%
Chile,2016,June,Hydro,1.607.805,1,22.807.999,9.043.579,24.51%
Chile,2016,June,Wind,194.592,2,2.445.999,893.028,2.97%
Chile,2016,June,Solar,143.832,3,2.589.998,516.517,2.19%
Chile,2016,June,Renewables,2.476.969,22,33.527.852,13.313.954,37.76%
Chile,2016,June,Low carbon,2.476.969,26,33.527.852,13.313.954,37.76%
Chile,2016,June,Fossil fuels,4.082.803,27,42.926.146,22.542.328,62.24%
Colombia,2016,June,Hydro,4255.49,1,48.459.195,25.027.352,69.80%
Colombia,2016,June,Wind,5.915,2,50.622,36.275,0.10%
Colombia,2016,June,Solar,697,3,8.947,4.488,0.01%
Colombia,2016,June,Renewables,4.364.271,22,49.890.778,25.695.166,71.58%
Colombia,2016,June,Low carbon,4.364.271,26,49.890.778,25.695.166,71.58%
Colombia,2016,June,Fossil fuels,1.732.847,27,24.570.492,11.784.727,28.42%
Mexico,2016,June,Hydro,2.942.732,1,29.744.001,17880.39,10.65%
Mexico,2016,June,Wind,537.941,2,9.934.994,4.294.398,1.95%
Mexico,2016,June,Solar,48.59,3,464,128.366,0.18%
Mexico,2016,June,Renewables,4.145.181,22,47.338.895,25.854.736,15.01%
Mexico,2016,June,Low carbon,5.220.164,26,57.610.894,31.915.841,18.90%
Mexico,2016,June,Fossil fuels,22.402.255,27,245.265.098,112.637.906,81.10%
Argentina,2016,July,Hydro,2.140.885,1,29.316.745,16306.88,17.15%
Argentina,2016,July,Wind,40.589,2,543.942,334.69,0.33%
Argentina,2016,July,Solar,1.114,3,13.917,8.416,0.01%
Argentina,2016,July,Renewables,2.205.994,22,31.013.883,17.241.273,17.67%
Argentina,2016,July,Low carbon,2.892.934,26,38.834.052,21.042.734,23.18%
Argentina,2016,July,Fossil fuels,9.588.309,27,100.338.115,61.393.103,76.82%
Brazil,2016,July,Hydro,29.581.697,1,375.970.336,208.646.137,64.02%
Brazil,2016,July,Wind,3.355.365,2,33.240.086,10.003.158,7.26%
Brazil,2016,July,Solar,6.6,3,84.498,20.106,0.01%
Brazil,2016,July,Renewables,38.747.953,22,457.470.239,241.085.453,83.86%
Brazil,2016,July,Low carbon,39.831.314,26,472.444.191,249.433.852,86.20%
Brazil,2016,July,Fossil fuels,6.376.076,27,90.863.524,76.998.792,13.80%
Chile,2016,July,Hydro,1.544.296,1,22.807.999,10.791.975,23.63%
Chile,2016,July,Wind,166.025,2,2.445.999,1.066.165,2.54%
Chile,2016,July,Solar,183.752,3,2.589.998,599.415,2.81%
Chile,2016,July,Renewables,2437.45,22,33.527.852,15.808.813,37.30%
Chile,2016,July,Low carbon,2437.45,26,33.527.852,15.808.813,37.30%
Chile,2016,July,Fossil fuels,4.097.656,27,42.926.146,26.258.503,62.70%
Colombia,2016,July,Hydro,4.579.753,1,48.459.195,29.428.591,73.48%
Colombia,2016,July,Wind,7.022,2,50.622,43.35,0.11%
Colombia,2016,July,Solar,0.75,3,8.947,5.238,0.01%
Colombia,2016,July,Renewables,4.696.014,22,49.890.778,30.214.336,75.35%
Colombia,2016,July,Low carbon,4.696.014,26,49.890.778,30.214.336,75.35%
Colombia,2016,July,Fossil fuels,1.536.281,27,24.570.492,13.777.687,24.65%
Mexico,2016,July,Hydro,3.040.183,1,29.744.001,21.137.912,10.53%
Mexico,2016,July,Wind,1.061.624,2,9.934.994,5062.42,3.68%
Mexico,2016,July,Solar,45.26,3,464,152.23,0.16%
Mexico,2016,July,Renewables,4.743.345,22,47.338.895,30.548.606,16.42%
Mexico,2016,July,Low carbon,5.889.819,26,57.610.894,37.654.744,20.39%
Mexico,2016,July,Fossil fuels,22.989.206,27,245.265.098,134.331.126,79.61%
Argentina,2016,August,Hydro,2.023.766,1,29.316.745,19.650.211,18.13%
Argentina,2016,August,Wind,44.938,2,543.942,386.367,0.40%
Argentina,2016,August,Solar,1.297,3,13.917,9.536,0.01%
Argentina,2016,August,Renewables,2.093.983,22,31.013.883,20.753.546,18.76%
Argentina,2016,August,Low carbon,2.598.049,26,38.834.052,25.162.942,23.27%
Argentina,2016,August,Fossil fuels,8.566.769,27,100.338.115,68.556.956,76.73%
Brazil,2016,August,Hydro,29.469.324,1,375.970.336,236.375.056,61.82%
Brazil,2016,August,Wind,3.432.001,2,33.240.086,12.579.992,7.20%
Brazil,2016,August,Solar,7.466,3,84.498,24.143,0.02%
Brazil,2016,August,Renewables,38.677.048,22,457.470.239,277391.67,81.13%
Brazil,2016,August,Low carbon,40.082.654,26,472.444.191,286.997.511,84.08%
Brazil,2016,August,Fossil fuels,7.587.822,27,90.863.524,86.734.259,15.92%
Chile,2016,August,Hydro,1870.59,1,22.807.999,13.080.641,29.38%
Chile,2016,August,Wind,271.26,2,2.445.999,1.258.858,4.26%
Chile,2016,August,Solar,227.284,3,2.589.998,686.868,3.57%
Chile,2016,August,Renewables,2.856.832,22,33.527.852,18.788.524,44.87%
Chile,2016,August,Low carbon,2.856.832,26,33.527.852,18.788.524,44.87%
Chile,2016,August,Fossil fuels,3509.56,27,42.926.146,29.345.843,55.13%
Colombia,2016,August,Hydro,4.708.546,1,48.459.195,34001.36,72.51%
Colombia,2016,August,Wind,5.683,2,50.622,49.206,0.09%
Colombia,2016,August,Solar,0.75,3,8.947,5.988,0.01%
Colombia,2016,August,Renewables,4.835.651,22,49.890.778,34.901.137,74.47%
Colombia,2016,August,Low carbon,4.835.651,26,49.890.778,34.901.137,74.47%
Colombia,2016,August,Fossil fuels,1.657.843,27,24.570.492,15.670.165,25.53%
Mexico,2016,August,Hydro,3.455.703,1,29.744.001,23.496.788,12.33%
Mexico,2016,August,Wind,653.726,2,9.934.994,5.856.863,2.33%
Mexico,2016,August,Solar,42.605,3,464,174.749,0.15%
Mexico,2016,August,Renewables,4.767.409,22,47.338.895,34.376.011,17.01%
Mexico,2016,August,Low carbon,5.906.525,26,57.610.894,42.535.323,21.08%
Mexico,2016,August,Fossil fuels,22.114.971,27,245.265.098,158.037.343,78.92%
Argentina,2016,September,Hydro,2.206.687,1,29.316.745,23110.8,21.07%
Argentina,2016,September,Wind,44.537,2,543.942,435.146,0.43%
Argentina,2016,September,Solar,1.307,3,13.917,10.896,0.01%
Argentina,2016,September,Renewables,2295.86,22,31.013.883,24.384.459,21.92%
Argentina,2016,September,Low carbon,2.833.987,26,38.834.052,29.177.762,27.06%
Argentina,2016,September,Fossil fuels,7.640.399,27,100.338.115,75.594.557,72.94%
Brazil,2016,September,Hydro,27.885.295,1,375.970.336,264.546.111,59.91%
Brazil,2016,September,Wind,3.594.456,2,33.240.086,14.861.703,7.72%
Brazil,2016,September,Solar,8.18,3,84.498,31.549,0.02%
Brazil,2016,September,Renewables,37273.99,22,457.470.239,313.082.897,80.08%
Brazil,2016,September,Low carbon,38.651.435,26,472.444.191,323.774.956,83.04%
Brazil,2016,September,Fossil fuels,7.893.391,27,90.863.524,97.096.935,16.96%
Chile,2016,September,Hydro,1.741.189,1,22.807.999,15.318.757,28.68%
Chile,2016,September,Wind,205.033,2,2.445.999,1.440.847,3.38%
Chile,2016,September,Solar,270.104,3,2.589.998,806.204,4.45%
Chile,2016,September,Renewables,2.699.376,22,33.527.852,21.692.472,44.46%
Chile,2016,September,Low carbon,2.699.376,26,33.527.852,21.692.472,44.46%
Chile,2016,September,Fossil fuels,3.372.332,27,42.926.146,32.179.371,55.54%
Colombia,2016,September,Hydro,4.654.819,1,48.459.195,38.028.505,73.86%
Colombia,2016,September,Wind,3.333,2,50.622,53.095,0.05%
Colombia,2016,September,Solar,745,3,8.947,6.733,0.01%
Colombia,2016,September,Renewables,4.776.406,22,49.890.778,39.039.491,75.79%
Colombia,2016,September,Low carbon,4.776.406,26,49.890.778,39.039.491,75.79%
Colombia,2016,September,Fossil fuels,1.526.053,27,24.570.492,18.047.487,24.21%
Mexico,2016,September,Hydro,3.112.757,1,29.744.001,25.861.288,11.80%
Mexico,2016,September,Wind,712.644,2,9.934.994,6.307.366,2.70%
Mexico,2016,September,Solar,36.998,3,464,192.552,0.14%
Mexico,2016,September,Renewables,4.456.243,22,47.338.895,37.819.261,16.89%
Mexico,2016,September,Low carbon,5.481.653,26,57.610.894,46.992.662,20.78%
Mexico,2016,September,Fossil fuels,20.896.496,27,245.265.098,180.113.804,79.22%
Argentina,2016,October,Hydro,2.346.972,1,29.316.745,26.513.442,22.24%
Argentina,2016,October,Wind,44.446,2,543.942,487.545,0.42%
Argentina,2016,October,Solar,1.348,3,13.917,12.11,0.01%
Argentina,2016,October,Renewables,2.434.847,22,31.013.883,27964.2,23.07%
Argentina,2016,October,Low carbon,3.189.437,26,38.834.052,33.005.245,30.22%
Argentina,2016,October,Fossil fuels,7.363.767,27,100.338.115,82.533.305,69.78%
Brazil,2016,October,Hydro,29.390.029,1,375.970.336,294.887.475,60.72%
Brazil,2016,October,Wind,3.734.626,2,33.240.086,17.339.357,7.72%
Brazil,2016,October,Solar,8.101,3,84.498,40.894,0.02%
Brazil,2016,October,Renewables,38609.78,22,457.470.239,351.457.149,79.76%
Brazil,2016,October,Low carbon,40.033.701,26,472.444.191,362.625.661,82.70%
Brazil,2016,October,Fossil fuels,8.372.591,27,90.863.524,107.461.785,17.30%
Chile,2016,October,Hydro,1.857.037,1,22.807.999,17.747.504,30.01%
Chile,2016,October,Wind,286.905,2,2.445.999,1.663.314,4.64%
Chile,2016,October,Solar,292.942,3,2.589.998,941.027,4.73%
Chile,2016,October,Renewables,2.918.746,22,33.527.852,24.887.199,47.17%
Chile,2016,October,Low carbon,2.918.746,26,33.527.852,24.887.199,47.17%
Chile,2016,October,Fossil fuels,3.269.107,27,42.926.146,35.047.267,52.83%
Colombia,2016,October,Hydro,4.458.058,1,48.459.195,41.412.304,70.48%
Colombia,2016,October,Wind,1.444,2,50.622,56.7,0.02%
Colombia,2016,October,Solar,688,3,8.947,7.421,0.01%
Colombia,2016,October,Renewables,4.581.121,22,49.890.778,42.543.439,72.42%
Colombia,2016,October,Low carbon,4.581.121,26,49.890.778,42.543.439,72.42%
Colombia,2016,October,Fossil fuels,1.744.224,27,24.570.492,21.015.561,27.58%
Mexico,2016,October,Hydro,2.430.688,1,29.744.001,27601.41,9.31%
